id,reference,hypothesis,BLEU,chrF++
1904,তবে যোগাযোগের চ্যানেলগুলির মন্থরতার কারণে পশ্চিমে রীতিগুলি 25 থেকে 30 বছর পিছিয়ে পড়তে পারে,"যাইহোক, ধীরে ধীরে যোগাযোগের চ্যানেলের কারণে, পশ্চিমে স্টাইলগুলি পঁচিশ থেকে ত্রিশ বছর পিছিয়ে থাকতে পারে।",6.0196,43.5794
1675,বিশেষ্য শব্দগুলির মতো 'সি' তুমি শব্দটিও সবসময় বড় হাতের অক্ষর দিয়ে শুরু হয় এমনকি বাক্যের মাঝেও।,"শব্দটির পাশে থাকা সমস্ত নামগুলি আপনাকে বলে যে আপনি সর্বদা একটি বড় অক্ষর দিয়ে শুরু করুন, এমনকি একটি বাক্যের মাঝামাঝি সময়েও",7.6459,35.9041
1950,উত্তরের কাছে এবং সহজে পৌঁছানো যায় এমন প্রেমময় ও আকর্ষণীয় সিন্ত্রার শহর এবং যখন এর জাঁকজমকের উজ্জ্বল বিবরণ লর্ড বাইরনের বিবৃতি দ্বারা বিদেশীদের কাছে এটি প্রসিদ্ধ করেছিল,"উত্তর দিকে এবং সহজ পৌঁছানোর মধ্যে রয়েছে সিনট্রা শহর, যা লর্ড বাইরন দ্বারা রেকর্ড করা তার গৌরবের একটি উজ্জ্বল বিবরণ পরে বিদেশীদের কাছে বিখ্যাত হয়ে ওঠে।",4.6680,34.8037
1728,বাঁধাকপির রস আম্লিক বা ক্ষারীয় ক্ষারধর্মী রাসায়নিকের উপর নির্ভর করে রঙ পরিবর্তন করে।,"রাসায়নিকটি কতটা অ্যাসিডিক, বেসিক ক্ষারীয় তার উপর নির্ভর করে বাঁধাকপির রস রঙ পরিবর্তন করে।",19.2516,59.0289
1972,অনেক মানুষ তাদের ডাইনোসর হিসাবে মনে করে না কারন তাদের পাখা আছে এবং উড়তে পারে,অনেক মানুষ এগুলোকে ডাইনোসর বলে মনে করে না কারণ এগুলোর পালক আছে এবং উড়তে পারে।,19.2516,54.1286
1938,অন্যদের সম্ভাব্য সংক্রমণ রোধে অন্যদের থেকে রোগীকে আলাদা করে রাখাসহ হাসপাতালটি সংক্রমণ নিয়ন্ত্রণের রীতিনীতি অনুসরণ করেছে,"হাসপাতালটি সংক্রমণ নিয়ন্ত্রণের জন্য প্রোটোকল অনুসরণ করেছে, যার মধ্যে রয়েছে রোগীকে অন্যদের থেকে আলাদা করা যাতে অন্যদের সম্ভাব্য সংক্রমণ প্রতিরোধ করা যায়।",13.5670,66.6488
1876,উত্তর মেরিয়ানা জরুরী ব্যবস্থাপনার অফিস বলেছে যে জনগণের কোন ক্ষয়ক্ষতির খবর পাওয়া যায়নি,নর্দার্ন মারিয়ানাস ইমার্জেন্সি ম্যানেজমেন্ট অফিস বলেছে যে দেশে কোন ক্ষয়ক্ষতির খবর পাওয়া যায়নি।,27.9684,54.0324
1914,বিংশ শতাব্দীতে যে গবেষণা হয়েছিল সেখানে দেখা গেছে যে জিনগত প্রকরণের দুটি দিক রয়েছে :লুকানো দিক এবং প্রকাশিত দিক।,"বিংশ শতাব্দীর গবেষণায় দেখা গেছে যে জিনগত বৈচিত্র্যের দুটি পুল রয়েছে, লুকানো এবং প্রকাশিত।",14.4377,46.3637
1846,সেই কারণে এই বিন্যাসটির আনুমানিক অনুপাত ১২ দিয়ে ভাগ করে সহজ পূর্ন -সংখ্যার গাণিতিক অনুপাত পাওয়া যায় ধরা হয় ৩ঃ২।,"এই ফর্ম্যাটটির দিকের অনুপাত, সবচেয়ে সহজ পুরো সংখ্যার অনুপাত পেতে বারো ভাগ করে, তাই বলা হয় তিন থেকে দুই।",4.9680,28.1389
1806,যদিও পূর্ণবিকাশের দিনে মৃদু দূষণ খুব একটা সমস্যার ছিল না এখন সেটা যতটা গুরুতর এগুলি সাধারণত শহরগুলিতে বা ক্যাম্পাসে অবস্থিত আধুনিক সময়ে নির্মিতগুলির চেয়ে সহজেই পৌঁছানো যায়,"যেহেতু তাদের উজ্জ্বল সময়ে আলোর দূষণ আজকের সমস্যা ছিল না, তারা সাধারণত শহরগুলিতে বা ক্যাম্পাসে অবস্থিত, যা আধুনিক সময়ে নির্মিতগুলির চেয়ে সহজলভ্য।",24.1913,49.1229
