id,reference,hypothesis,BLEU,chrF++
1904,જોકે ધીમી સંદેશાવ્યવહાર ચૅનલોને કારણે પશ્ચિમમાં શૈલીઓ 25 થી 30 વર્ષ પાછળ પડી શકે છે,"જો કે, ધીમી સંચાર ચેનલોને કારણે, પશ્ચિમમાં શૈલીઓ પચીસથી ત્રીસ વર્ષ પાછળ રહી શકે છે.",7.9946,48.5293
1675,તમારા માટે sie શબ્દની સાથે તમામ સંજ્ઞાઓ હંમેશા વાક્યની મધ્યમાં પણ કેપિટલ અક્ષરથી શરૂ થાય છે,"શબ્દોની બાજુમાં તમામ સંજ્ઞાઓ કહે છે કે તમે હંમેશા મોટા અક્ષરથી શરૂ કરો, વાક્યના મધ્યમાં પણ",8.5130,44.4571
1950,ઉત્તરે અને એકદમ નજીકમાં રોમાન્ટિક અને મનમોહક સિન્ત્ર શહેર આવેલું છે જે લૉર્ડ બાયરને તેના ઝળહળતા વૈભવનો અહેવાલ આપ્યો ત્યાર પછી વિદેશીઓમાં પ્રસિદ્ધ થયું,"ઉત્તરમાં અને સરળ પહોંચની અંદર સિન્ત્રાનું રોમેન્ટિક અને રસપ્રદ નગર છે, જે લોર્ડ બાયરોન દ્વારા નોંધાયેલા તેના ભવ્યતાનું તેજસ્વી એકાઉન્ટ પછી વિદેશીઓને પ્રખ્યાત બનાવવામાં આવ્યું હતું.",2.0899,29.0143
1728,રાસાયણિકમાં હાઇડ્રોજનની શક્તિના આધારે કોબીનો રસ રંગ બદલાય,"કોબીનો રસ રંગ બદલાય છે તે પર આધાર રાખીને કે કેમિકલ કેટલું એસિડિક, મૂળભૂત આલ્કલાઇન છે.",13.4453,36.8210
1972,ઘણાં લોકો તેમને ડાયનાસોર નથી માનતાં કારણ કે તેમને પીંછાં છે અને તેઓ ઊડી શકે છે,ઘણા લોકો તેમને ડાયનાસોર તરીકે વિચારતા નથી કારણ કે તેમની પાસે પીંછા છે અને ઉડી શકે છે,14.4640,54.9457
1938,દવાખાનાએ સંક્રમણ નિયંત્રણ માટે પ્રોટોકોલનું પાલન કર્યું હતું જેમાં અન્યોને સંભવિત સંક્રમણ થતું અટકાવવા માટે દર્દીને અન્યોથી અલગ કરવાનો સમાવેશ થાય છે,"હોસ્પિટલે ચેપ નિયંત્રણ માટે પ્રોટોકોલનું પાલન કર્યું છે, જેમાં દર્દીને અન્ય લોકોથી અલગ રાખવાનો સમાવેશ થાય છે, જેથી અન્ય લોકોનો સંભવિત ચેપ અટકાવી શકાય.",19.2302,51.5169
1876,ઉત્તરીય મારીયાનાસની કટોકટી વ્યવસ્થાપન કચેરીએ જણાવ્યું હતું કે રાષ્ટ્રમાં કોઇપણ નુકશાનીની જાણકારી મળી નહોતી,ઉત્તરીય મેરિઆનાના ઇમરજન્સી મેનેજમેન્ટ ઑફિસે કહ્યું કે દેશમાં કોઈ નુકસાનની જાણ કરવામાં આવી નથી.,3.1252,20.3614
1914,વીસમી સદીના સંશોધને બતાવ્યુ છે કે આનુવંશિક વૈવિધ્યના બે સમૂહો છે : છૂપા અને અભિવ્યક્ત,વીસમી સદીના સંશોધનોએ દર્શાવ્યું છે કે આનુવંશિક વિવિધતાના બે પૂલ છુપાયેલા અને વ્યક્ત છે.,13.8344,48.9733
1846,આ બંધારણનો રેશિયો સંપૂર્ણ સંખ્યાનો ગુણોત્તર મેળવવા માટે બાર દ્વારા વિભાજીત કરતાં તેથી 3:2 હોવાનું કહેવાય છે,"આ ફોર્મેટનો પાસા ગુણોત્તર, સૌથી સરળ સંપૂર્ણ સંખ્યા ગુણોત્તર મેળવવા માટે બાર દ્વારા વિભાજિત થાય છે, તેથી ત્રણથી બે કહેવામાં આવે છે.",16.3319,49.4719
1806,"કેમ કે પ્રકાશ પ્રદૂષણ એ આજની જેમ તેમના પરાકાષ્ઠામાં મુશ્કેલીની સમસ્યા ન હતી,તેઓ સામાન્ય રીતે શહેરોમાં અથવા કેમ્પસ પર સ્થિત હોય છે જે આધુનિક સમયમાં બાંધવામાં આવેલા લોકો કરતાં પહોંચવામાં સરળ હોય છે","તેમના ખીણકાળમાં પ્રકાશ પ્રદૂષણ આજે જે પ્રકારની સમસ્યા હતી તે નથી, તેઓ સામાન્ય રીતે શહેરોમાં અથવા કેમ્પસમાં સ્થિત છે, જે આધુનિક સમયમાં બાંધવામાં આવેલા લોકો કરતાં વધુ સરળતાથી પહોંચી શકાય છે.",33.5572,58.1195
