id,reference,hypothesis,BLEU,chrF++
1904,हालांकि धीमे कम्युनिकेशन चैनल की वजह से पश्चिम का रहन-सहन 25-30 साल पीछे जा सकता है,"हालांकि, धीमी संचार चैनलों के कारण, पश्चिम में शैलियाँ पच्चीस से तीस साल पीछे रह सकती हैं।",5.0912,27.9589
1675,साई के साथ-साथ सभी संज्ञा शब्द हमेशा अंग्रेज़ी के बड़े अक्षर से ही शुरू होते हैं भले ही वे वाक्य के बीच में ही क्यों न हों,"शब्दों के साथ सभी संज्ञाएं कहते हैं कि आप हमेशा एक बड़े अक्षर से शुरू करें, यहां तक कि एक वाक्य के बीच में भी।",14.4013,41.5363
1728,गोभी का जूस अम्लीय या आधारभूत क्षारीय रसायन के आधार पर रंग बदलता है,"गोभी का रस रंग बदलता है, यह इस बात पर निर्भर करता है कि रसायन कितना अम्लीय, मूल क्षारीय है।",9.3643,43.1599
1972,उनके पंख और उड़ने की वजह से कई लोग उनको डायनासोर नहीं मानते,बहुत से लोग उन्हें डायनासोर नहीं मानते क्योंकि उनके पास पंख हैं और वे उड़ सकते हैं।,10.8787,45.3075
1938,अस्पताल ने संक्रमण नियंत्रण के लिए नियमों का पालन किया है इन नियमों में दूसरों के संभावित संक्रमण को रोकने के लिए रोगी को दूसरों से अलग करना शामिल है,"अस्पताल ने संक्रमण नियंत्रण के लिए प्रोटोकॉल का पालन किया है, जिसमें दूसरों के संभावित संक्रमण को रोकने के लिए रोगी को दूसरों से अलग करना शामिल है।",71.0984,83.1886
1876,उत्तरी मैरिएनस इमरजेंसी प्रबंधन कार्यलय की ओर से कहा गया कि राष्ट्र में नुकसान की कोई सूचना प्राप्त नहीं हुई थी,उत्तरी मारियाना के आपातकालीन प्रबंधन कार्यालय ने कहा कि देश में कोई क्षति की सूचना नहीं थी।,3.1306,29.5942
1914,बीसवीं सदी के शोध से पता चला है कि आनुवंशिक भिन्नता के दो पूल हैं छुपा हुआ और अभिव्यक्त,बीसवीं शताब्दी के शोध से पता चला है कि आनुवंशिक भिन्नता के दो पूल छिपे हुए और व्यक्त किए गए हैं।,55.7342,69.4969
1846,इस प्रारूप सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करने के लिए बारह से भाग देना के अभिमुखता अनुपात को इसलिए 3:2 कहा जाता है।,"इस प्रारूप का पहलू अनुपात, सबसे सरल पूर्ण संख्या अनुपात प्राप्त करने के लिए बारह से विभाजित, इसलिए तीन से दो कहा जाता है।",32.1640,62.8118
1806,चूंकि उनकी शुरुआती दिनों में प्रकाश प्रदूषण आज की तरह की समस्या नहीं थी वे आमतौर पर शहरों में या परिसरों में स्थित हैं जहां आधुनिक समय में निर्मित जगहों की तुलना में पहुंचना आसान होता हैं,"चूंकि प्रकाश प्रदूषण उनके उदय के समय में आज की तरह की समस्या नहीं थी, वे आमतौर पर शहरों या परिसरों में स्थित होते हैं, जो आधुनिक समय में निर्मित लोगों की तुलना में पहुंचने में आसान होते हैं।",36.6492,67.0577
1776,रात के समय 150 और 200 के बीच प्रतियों बनती है  जिन्हे अब  डनलप ब्रॉडसाइड्स” के रूप में जाना जाता है।,इस रात एक पचास से दो सौ प्रतियां बनाई गईं जिन्हें अब डनलैप ब्रॉडसाइड्स के नाम से जाना जाता है।,8.0621,36.6082
1729,उदाहरण के लिए नॉर्थ कैरोलिना के बेनेट स्कूल के हज़ारों स्टूडेंट्स हर साल राज्य की राजधानी की अपनी यात्रा के बारे में एक वेबसाइट डिज़ाइन करते हैं वेबसाइट हर साल फिर से तैयार की जाती है लेकिन कुछ पुराने वर्ज़न्स को स्क्रेपबुक के रूप में इस्तेमाल करने के लिए ऑनलाइन रखा जाता है,"उदाहरण के लिए, हर साल उत्तरी कैरोलिना में बेनेट स्कूल के छात्र राज्य की राजधानी की अपनी यात्रा के बारे में एक वेबसाइट डिजाइन करते हैं, हर साल वेबसाइट को फिर से तैयार किया जाता है, लेकिन पुराने संस्करणों को एक स्क्रैपबुक के रूप में सेवा करने के लिए ऑनलाइन रखा जाता है।",39.1464,64.1074
1919,यह शहर अफ़्रीका के कुछ सबसे सस्ते पहाड़ी गोरिल्ला ट्रेकिंग के साथ ही नायरागोंगो ज्वालामुखी की चढ़ाई करने का बेस भी है,यह शहर अफ्रीका में सबसे सस्ते पर्वत गोरिल्ला तस्करी के साथ-साथ नीराइगंगो ज्वालामुखी पर चढ़ने का आधार भी है।,5.9886,39.0664
1802,इंटरनेट लोगों और अंतर-परस्पर संचार दोनों के तत्वों को मिलाता है,इंटरनेट में सामूहिक और अंतर-व्यक्तिगत संचार दोनों के तत्वों का संयोजन है।,23.4624,49.7168
