id,reference,hypothesis,BLEU,chrF++
1904,ಆದಾಗ್ಯೂ ನಿಧಾನಗತಿಯ ಸಂವಹನ ವಿಧಾನಗಳಿಂದಾಗಿ ಪಶ್ಚಿಮ ಪ್ರಾಂತ್ಯದ ಜೀವನಶೈಲಿಯು 25 ರಿಂದ 30 ವರ್ಷ ಹಿಂದುಳಿಯಬಹುದು,"ಆದಾಗ್ಯೂ, ನಿಧಾನ ಸಂವಹನ ಚಾನಲ್ಗಳ ಕಾರಣದಿಂದಾಗಿ, ಪಶ್ಚಿಮದಲ್ಲಿ ಶೈಲಿಗಳು ಇಪ್ಪತ್ತೈದು ರಿಂದ ಮೂವತ್ತು ವರ್ಷಗಳವರೆಗೆ ಹಿಂದುಳಿದಿರಬಹುದು.",3.4586,30.8960
1675,ಎಲ್ಲಾ ನಾಮಪದಗಳು ಅವುಗಳ ಜೊತೆಯಲ್ಲಿ ಸಿ ಎಂಬ ಪದವು ನಿಮಗಾಗಿ ಯಾವಾಗಲು ಕ್ಯಾಪಿಟಲ್ ಅಕ್ಷರದಿಂದ ಆರಂಭವಾಗುತ್ತದೆ ಅದು ವಾಕ್ಯದ ಮಧ್ಯದಲ್ಲಿದ್ದರೂ ಸಹ,ಪದಗಳ ಪಕ್ಕದಲ್ಲಿರುವ ಎಲ್ಲಾ ನಾಮಪದಗಳು ಯಾವಾಗಲೂ ಒಂದು ವಾಕ್ಯದ ಮಧ್ಯದಲ್ಲಿಯೂ ಸಹ ದೊಡ್ಡ ಅಕ್ಷರದಿಂದ ಪ್ರಾರಂಭವಾಗುತ್ತವೆ.,6.1676,41.4933
1950,ಉತ್ತರದಲ್ಲಿ ಮತ್ತು ಬಹಳ ಸುಲಭವಾಗಿ ತಲುಪಬಲ್ಲ ಪ್ರಣಯಮಯ ಆಹ್ಲಾದಕರ ಸಿಂಟ್ರಾ ಪಟ್ಟಣವಿದೆ ಹಾಗೂ ಅದು ಲಾರ್ಡ್ ಬೈರಾನ್ ಅತ್ಯಾಕರ್ಷಕವಾಗಿ ದಾಖಲು ಮಾಡಿದ ನಂತರ ವಿದೇಶಿಗರಲ್ಲಿ ಜನಪ್ರಿಯವಾಯಿತು,"ಉತ್ತರಕ್ಕೆ ಮತ್ತು ಸುಲಭವಾದ ವ್ಯಾಪ್ತಿಯೊಳಗೆ ಸಿಂಟ್ರಾ ಎಂಬ ರೋಮ್ಯಾಂಟಿಕ್ ಮತ್ತು ಆಕರ್ಷಕ ಪಟ್ಟಣವಿದೆ, ಮತ್ತು ಲಾರ್ಡ್ ಬೈರನ್ ದಾಖಲಿಸಿದ ಅದರ ಭವ್ಯತೆಯ ಪ್ರಕಾಶಮಾನವಾದ ಖಾತೆಯ ನಂತರ ವಿದೇಶಿಯರಿಗೆ ಪ್ರಸಿದ್ಧವಾಗಿದೆ.",2.4623,32.0974
1728,ಕ್ಯಾಬೇಜ್ ಜ್ಯೂಸ್ ರಾಸಾಯನಿಕವು ಎಷ್ಟು ಆಸಿಡ್‌ ಹೊಂದಿದೆ ಅಥವಾ ಮೂಲ ಅಲ್ಕಲೈನ್ ವಾಗಿದೆ ಎಂಬುದನ್ನು ಆಧರಿಸಿ ಬಣ್ಣ ಬದಲಿಸುತ್ತದೆ,"ಎಲೆಕೋಸು ರಸವು ರಾಸಾಯನಿಕವು ಎಷ್ಟು ಆಮ್ಲೀಯ, ಮೂಲಭೂತ ಕ್ಷಾರೀಯವಾಗಿದೆ ಎಂಬುದರ ಆಧಾರದ ಮೇಲೆ ಬಣ್ಣವನ್ನು ಬದಲಾಯಿಸುತ್ತದೆ.",5.6797,32.9669
1972,ಬಹಳಷ್ಟು ಜನರು ಅವುಗಳನ್ನು ಡೈನೋಸಾರ್ ಎಂಬ ದೃಷ್ಟಿಯಿಂದ ನೋಡುವುದಿಲ್ಲ ಏಕೆಂದರೆ ಅವು ರೆಕ್ಕೆ ಪುಕ್ಕ ಹೊಂದಿವೆ ಮತ್ತು ಹಾರಬಲ್ಲವು,ಅನೇಕ ಜನರು ಅವುಗಳನ್ನು ಡೈನೋಸಾರ್ಗಳೆಂದು ಯೋಚಿಸುವುದಿಲ್ಲ ಏಕೆಂದರೆ ಅವು ಗರಿಗಳನ್ನು ಹೊಂದಿವೆ ಮತ್ತು ಹಾರಬಲ್ಲವು,15.6101,56.5529
1938,ಈ ಆಸ್ಪತ್ರೆಯು ಸೊಂಕಿನ ನಿಯಂತ್ರಣ ಮಾಡಲು ಸರಿಯಾದ ಪ್ರೋಟೋಕಾಲ್ ಅನ್ನು ಅನುಸರಿಸಿದೆ ಇದರಲ್ಲಿ ಇತರರಿಂದ ಸೋಂಕನ್ನು ತಡೆಗಟ್ಟಲು ರೋಗಿಗಳನ್ನು ಬೇರೆಯವರಿಂದ ಪ್ರತ್ಯೇಕವಾಗಿರಿಸುವುದು ಸೇರಿದೆ,"ಆಸ್ಪತ್ರೆಯು ಸೋಂಕು ನಿಯಂತ್ರಣಕ್ಕಾಗಿ ಪ್ರೋಟೋಕಾಲ್ ಅನ್ನು ಅನುಸರಿಸಿದೆ, ಇತರರ ಸಂಭಾವ್ಯ ಸೋಂಕನ್ನು ತಡೆಗಟ್ಟಲು ರೋಗಿಯನ್ನು ಇತರರಿಂದ ಬೇರ್ಪಡಿಸುವುದು ಸೇರಿದಂತೆ.",11.6972,50.8866
1876,ರಾಷ್ಟ್ರದಲ್ಲಿ ಯಾವುದೇ ಹಾನಿ ಸಂಭವಿಸಿಲ್ಲ ಎಂದು ಉತ್ತರ ಮರಿಯಾನಾಸ್ನ ತುರ್ತುಸ್ಥಿತಿ ನಿರ್ವಾಹಣಾ ಕಛೇರಿ ತಿಳಿಸಿದೆ,ಉತ್ತರ ಮರಿಯಾನಾಸ್ ತುರ್ತು ನಿರ್ವಹಣಾ ಕಚೇರಿಯು ರಾಷ್ಟ್ರದಲ್ಲಿ ಯಾವುದೇ ಹಾನಿ ವರದಿಯಾಗಿಲ್ಲ ಎಂದು ಹೇಳಿದೆ.,14.3231,51.1802
1914,ಇಪ್ಪತ್ತನೇ ಶತಮಾನದ ಸಂಶೋಧನೆಯು ಆನುವಂಶಿಕ ಬದಲಾವಣೆಯ ಎರಡು ಮಡುಗಳಿವೆ ಎಂದು ತೋರಿಸಿದೆ ಅವು ವ್ಯಕ್ತ ಮತ್ತು ಅವ್ಯಕ್ತ,"ಇಪ್ಪತ್ತನೇ ಶತಮಾನದ ಸಂಶೋಧನೆಯು ಎರಡು ಆನುವಂಶಿಕ ವ್ಯತ್ಯಾಸದ ಕೊಳಗಳಿವೆ ಎಂದು ತೋರಿಸಿದೆ, ಮರೆಮಾಡಲಾಗಿದೆ ಮತ್ತು ವ್ಯಕ್ತಪಡಿಸಲಾಗಿದೆ.",14.9498,57.5266
1846,ಅದ್ದರಿಂದ ಈ ಫಾರ್ಮ್ಯಾಟ್‍‌ನ ಆಸ್ಪೆಕ್ಟ್ ಅನುಪಾತವುಸರಳ ಪೂರ್ಣಾಂಕ ಅನುಪಾತ ಬರುವುದಕ್ಕಾಗಿ ಹನ್ನೆರಡರಿಂದ ಭಾಗಿಸುವಿಕೆ 3:2 ಎಂದು ಹೇಳಲಾಗಿದೆ,"ಈ ಸ್ವರೂಪದ ಅಂಶ ಅನುಪಾತವು, ಸರಳವಾದ ಪೂರ್ಣ ಸಂಖ್ಯೆಯ ಅನುಪಾತವನ್ನು ಪಡೆಯಲು ಹನ್ನೆರಡು ಭಾಗಿಸಿ, ಆದ್ದರಿಂದ ಮೂರು-ಎರಡು ಎಂದು ಹೇಳಲಾಗುತ್ತದೆ.",2.5540,28.8170
1806,ತನ್ನ ಉತ್ಕೃಷ್ಟವಾದ ಕಾಲದಲ್ಲಿ ಕಡಿಮೆ ಜನಸಂಖ್ಯೆ ಇದ್ದಾಗ ಇಂದಿನಂತಹ ಸಮಸ್ಯೆ ಇರಲಿಲ್ಲ ಅವುಗಳು ಸಹಜವಾಗಿಯೇ ನಗರಗಳಲ್ಲಿ ಅಥವಾ ಕ್ಯಾಂಪಸ್ ಗಳಲ್ಲಿ ಸ್ಥಾಪಿತವಾಗಿರುತ್ತದೆ ಆಧುನಿಕ ಸಮಯದಲ್ಲಿ ನಿರ್ಮಿತವಾದ ಕಟ್ಟಡಕ್ಕಿಂತ ಹೆಚ್ಚು ಸುಲಭವಾಗಿ ತಲುಪಬಹುದಾಗಿತ್ತು,"ಬೆಳಕಿನ ಮಾಲಿನ್ಯವು ಅವರ ಉಜ್ವಲ ಯುಗದಲ್ಲಿ ಇಂದಿನ ಸಮಸ್ಯೆಯಲ್ಲದ ಕಾರಣ, ಅವು ಸಾಮಾನ್ಯವಾಗಿ ನಗರಗಳಲ್ಲಿ ಅಥವಾ ಕ್ಯಾಂಪಸ್ಗಳಲ್ಲಿ ಆಧುನಿಕ ಕಾಲದಲ್ಲಿ ನಿರ್ಮಿಸಿದವುಗಳಿಗಿಂತ ಸುಲಭವಾಗಿ ತಲುಪುತ್ತವೆ.",4.1443,34.6678
