id,reference,hypothesis,BLEU,chrF++
1904,எனினும் மெதுவான தகவல் தொடர்பு சேனல்கள் காரணமாக மேற்கத்திய பாணிகள் 25 முதல் 30 ஆண்டுகள் வரை பின் தங்கியிருக்கக்கூடும்,"இருப்பினும், மெதுவான தகவல்தொடர்பு சேனல்கள் காரணமாக, மேற்கில் உள்ள பாணிகள் இருபத்தைந்து முதல் முப்பது ஆண்டுகள் வரை பின்னால் இருக்கக்கூடும்.",6.9868,56.8504
1675,எல்லாப் பெயர்ச்சொற்களும் sie என்ற வார்த்தையுடன் எப்போதும் ஒரு வாக்கியத்தின் நடுவில் கூட கேப்பிடல் எழுத்துடன் தொடங்குகின்றன,"சொற்களுக்கு அடுத்த அனைத்து பெயர்ச்சொற்களும் எப்போதும் ஒரு பெரிய எழுத்துடன் தொடங்குகின்றன, ஒரு வாக்கியத்தின் நடுவில் கூட",24.0221,61.8465
1950,வடக்கே எளிதில் சென்றடையக்கூடிய தொலைவில் காதல் மற்றும் கவர்ச்சிகரமான நகராக சின்ட்ரா விளங்குவதாலும் பைரன் பிரபுவின் அந்நகரை பற்றிய கவரும் பதிவுகளும் வெளிநாட்டவர்கள் மத்தியில் பிரபலமானது,"வடக்கே, எளிதில் அடையக்கூடிய, சிந்த்ரா என்ற காதல் மற்றும் கவர்ச்சிகரமான நகரம் உள்ளது, இது லார்ட் பைரன் பதிவு செய்த அதன் பிரகாசமான கணக்குக்குப் பிறகு வெளிநாட்டினருக்கு பிரபலமானது.",6.9295,42.2356
1728,முட்டைகோஸ் தனது சாறின் நிறத்தை எவ்வளவு அமிலத்தன்மை அல்லது காரத்தை பொறுத்து மாற்றுகிது,"பருப்பு சாறு எவ்வளவு அமிலமான, அடிப்படை ஆல்கலைன் இரசாயனத்தைப் பொறுத்து நிறத்தை மாற்றுகிறது.",4.4569,36.3090
1972,நிறைய மக்கள் தங்களை டைனோஸர்ஸ் என்று நினைப்பதில்லை ஏனெனில் அவற்றிற்கு இறகுகள் உள்ளன மற்றும் அவைகளால் பறக்க முடியும்,"பலர் அவற்றை டைனோசர்கள் என்று நினைக்கவில்லை, ஏனென்றால் அவற்றுக்கு இறகுகள் உள்ளன, பறக்க முடியும்.",8.4931,44.5898
1938,நோயாளிகளை தனிமைப்படுத்தி நோய் பரவாமல் பாதுகாப்பதில் இருந்து அனைத்து நெறிமுறைகளையும் அந்த மருத்துவமனை பின்பற்றியது,மற்றவர்களுக்கு தொற்று ஏற்படாமல் தடுக்க நோயாளியை மற்றவர்களிடமிருந்து பிரிப்பது உட்பட தொற்று கட்டுப்பாட்டுக்கான நெறிமுறைகளை மருத்துவமனை பின்பற்றியுள்ளது.,2.8398,33.1225
1876,நாட்டில் எந்தச் சேதமும் ஏற்படவில்லை என்று வடக்கு மரியானாஸ் அவசரநிலை மேலாண்மை அலுவலகம் தெரிவித்துள்ளது,வடக்கு மரியானாஸ் அவசர மேலாண்மை அலுவலகம் நாட்டில் எந்த சேதமும் பதிவாகவில்லை என்று கூறியது.,11.0168,58.2225
1914,மரபணு சார்ந்த வேறுபாடுகளில் இரண்டு வகைகள் உள்ளன என்று இருபதாம் நூற்றாண்டு ஆராய்ச்சிகள் காட்டுகின்றன மறைந்த மற்றும் வெளிக் காட்டப்பட்டவை,இருபதாம் நூற்றாண்டின் ஆராய்ச்சி இரண்டு மரபணு மாறுபாடுகள் மறைக்கப்பட்டவை மற்றும் வெளிப்படுத்தப்பட்டவை என்பதைக் காட்டியுள்ளது.,3.7299,41.4874
1846,எனவே இந்த வடிவமைப்பின் தோற்ற விகிதம் எளிமையான முழு எண் விகிதத்தைப் பெற பன்னிரண்டால் வகுத்தல் 3:2 எனக் கூறப்படுகிறது,"இந்த வடிவத்தின் அம்ச விகிதம், எளிய முழு எண் விகிதத்தைப் பெற பன்னிரண்டுக்குப் பிரிக்கப்படுகிறது, எனவே மூன்று முதல் இரண்டு என்று கூறப்படுகிறது.",14.2539,51.1466
1776,"""இரவு முழுவதும் 150 முதல் 200 பிரதிகள் வரை உருவாக்கப்பட்டன இப்போது அவை ""டன்லப் ப்ராட்சைட்ஸ்"" என்று அழைக்கப்படுகின்றன.","ஒரு இரவில் ஐம்பது முதல் இருநூறு பிரதிகள் வரை தயாரிக்கப்பட்டன, அவை இப்போது டன்லாப் பிராட்சைட்ஸ் என்று அழைக்கப்படுகின்றன.",11.3616,50.6857
1729,உதாரணமாக ஒவ்வொரு ஆண்டும் வட கரோலினாவின் பென்னட் பள்ளி மாணவர்கள் தங்கள் மாநில தலைநகருக்கான பயணத்தைப் பற்றிய ஒரு வலைதளத்தை வடிவமைப்பர் ஒவ்வொரு ஆண்டும் வலைதளம் மறுவடிவமைக்கப்படுகிறது ஆனால் பழைய பதிப்புகள் ஆன்லைனில் ஸ்கிராப்புக்காக வழங்கப்படுகின்றன,"உதாரணமாக, ஒவ்வொரு ஆண்டும் வட கரோலினாவில் உள்ள பென்னட் பள்ளியின் மாணவர்கள் மாநில தலைநகருக்கு தங்கள் பயணத்தைப் பற்றி ஒரு வலைத்தளத்தை வடிவமைக்கிறார்கள், ஒவ்வொரு ஆண்டும் வலைத்தளம் மறுவடிவமைக்கப்படுகிறது, ஆனால் பழைய பதிப்புகள் ஆன்லைனில் வைக்கப்படுகின்றன.",14.6866,68.5501
1855,சிங்கத்தை போன்றே ஓநாய்கள் அல்லது நாய்கள் ஆகிய விலங்குகள் வியக்கத்தக்க வகையில் செயல்படுகின்றன ஆனால் மற்ற பூனை இனங்கள் இல்லை நடவடிக்கையிலும் ஒத்துபோகின்றன மிகவும் ஆபத்தானவையும் கூட,"சிங்கப் பெருமை என்பது ஓநாய்கள் அல்லது நாய்களின் கூட்டங்களைப் போன்றது, விலங்குகள் சிங்கங்களைப் போலவே வியக்கத்தக்கவை, ஆனால் மற்ற பெரிய பூனைகள் அல்ல, மேலும் அவற்றின் இரையை மிகவும் கொடியதாக ஆக்குகின்றன.",4.3441,40.8557
1919,இந்த நகரம் ஆப்ரிக்காவில் உள்ள சில மலிவான மலை கொரில்லா கண்காணிப்புடன் சேர்ந்து நைரகோங்கோ எரிமலையை ஏறுவதற்கான தளமாகவும் இருக்கிறது,"இந்த நகரம் நைராய்காங்கோ எரிமலை ஏறுவதற்கான தளமாகவும், ஆப்பிரிக்காவில் மலிவான மலை கோரிலா கடத்தல்களுடன் உள்ளது.",9.1593,48.0553
1802,இணையம் மக்கள் தொடர்பு மற்றும் தனிநபர்கள் தொடர்புகொள்வதற்கான கூறுகளை ஒருங்கிணைக்கிறது,இணையம் வெகுஜன மற்றும் நபர் தொடர்பு இரண்டின் கூறுகளையும் இணைக்கிறது.,6.2747,34.5706
1711,இந்தக் கோட்பாடுகள் சில நபர்களைப் பற்றி உற்றுநோக்கி அவர்கள் விரும்பும் காரியங்களைச் செய்ய வைப்பதுடன் அவர்களின் சூழல் அவர்களை என்னென்ன விஷயங்கள் செய்யவைக்கும் அல்லது என்ன செய்யவைக்காது என்பதை ஆய்வு செய்யும்,"சில நபர்கள் என்ன செய்கிறார்கள் என்பதைப் பாருங்கள், அவர்கள் செய்யும் விஷயங்களை அவர்கள் விரும்புகிறார்கள், அவர்களின் சூழலில் உள்ள விஷயங்கள் அவர்களை சில விஷயங்களைச் செய்ய அல்லது செய்யாது.",2.7250,41.8384
1685,உதாரணமாக உலகத்தில் மிகவும் சாதாரணமாக பயன்படும் நிலை உருவ புகைப்பட வடிவம் 35 மிமீ இது ஒப்புமை பிலிம் காலத்தில் ஓங்கி இருந்த பிலிம் வடிவமாக இருந்தது,"உதாரணமாக, உலகில் மிகவும் பொதுவான நிலையான பட புகைப்பட வடிவம் முப்பத்தைந்து மில்லிமீட்டர் ஆகும், இது அனலாக் திரைப்பட சகாப்தத்தின் முடிவில் ஆதிக்கம் செலுத்தும் திரைப்பட அளவாகும்.",4.1411,31.8274
1992,பிரபலமான பயன்பாட்டைப் பொறுத்தவரை சஃபாரி என்ற சொல் குறிப்பாக சவன்னாவில் வியக்கவைக்கும் ஆப்பிரிக்க வனவிலங்குகளைக் காணும் நிலப்பரப்பு பயணத்தினைக் குறிக்கிறது,"சஃபாரி என்ற சொல், குறிப்பாக சவானாவில் உள்ள அற்புதமான ஆப்பிரிக்க வனவிலங்குகளைப் பார்க்க நிலப்பரப்பு பயணத்தை குறிக்கிறது.",12.0903,49.0093
2005,ஆனால் பறவைகளில் டைனோசரைப் போல தோற்றமளிக்கும் பல விஷயங்கள் இன்னமும் இருக்கின்றன,ஆனால் பனி ஒரு டைனோசரைப் போல தோற்றமளித்ததைப் பற்றி நிறைய விஷயங்கள் உள்ளன.,8.9138,41.6284
1982,பெண்கள் எந்தவொரு பெண் பயணியும் அசல் திருமண நிலையைப் பொருட்படுத்தாமல் தாங்கள் திருமணமானவர்களாகக் கூறப்படுவது பரிந்துரைக்கப்படுகிறது,பெண்கள்: எந்தவொரு பெண் பயணிகளும் உண்மையான திருமண நிலையைப் பொருட்படுத்தாமல் திருமணம் செய்து கொண்டதாகச் சொல்ல பரிந்துரைக்கப்படுகிறது.,13.3802,59.6955
1674,சில பகுதிகளில் நீர் கொதிக்க ஒரு நிமிடம் போதுமானதாக உள்ளது மற்ற இடங்களில் பல நிமிடங்கள் தேவைப்படுகின்றன,"சில பகுதிகளில் ஒரு நிமிடம் கொதிக்கும் நீர் போதுமானது, மற்றவற்றில் பல நிமிடங்கள் தேவைப்படுகின்றன.",17.4743,65.3117
1952,மிக உயரமான இடத்திற்கு அல்லது மலை கணவாய்கள் வழியே வண்டி ஓட்டிச் செல்பவர் எவரும் உறைபனி பனிக்கட்டி அல்லது உறையும் தட்பவெட்பம் ஆகியவற்றை கருத்தில் கொள்ள வேண்டும்,"வெப்பமான அட்சரேகைகளில் அல்லது மலைப்பாதைகள் வழியாக வாகனம் ஓட்டப் போகும் எவரும் பனி, பனி அல்லது உறைபனி வெப்பநிலைகளைக் கருத்தில் கொள்ள வேண்டும்.",8.8363,38.2124
