id,reference,hypothesis,BLEU,chrF++
1904,అయితే నిదానంగా ఉన్న ప్రసార మాధ్యమాల కారణంగా పశ్చిమంలో స్టైల్స్ 25 నుండి 30 సంవత్సరాల వరకు వెనుకబడవచ్చు,"ఏదేమైనా, నెమ్మదిగా కమ్యూనికేషన్ ఛానెల్స్ కారణంగా, పశ్చిమ దేశాలలో శైలులు ఇరవై ఐదు నుండి ముప్పై సంవత్సరాల వరకు వెనుకబడి ఉండవచ్చు.",4.8150,36.2113
1675,మీకు sie అనే పదం పక్కన వచ్చే నౌన్స్ అన్నీ ఎల్లప్పుడు క్యాపిటల్ లెటర్తో ప్రారంభం అవుతాయి అది వాక్యం మధ్యలోనైనా సరే,పదాల పక్కన ఉన్న అన్ని నామవాచకాలు ఎల్లప్పుడూ ఒక వాక్యం మధ్యలో కూడా పెద్ద అక్షరంతో ప్రారంభమవుతాయి.,2.7258,29.9804
1950,ఉత్తరానికి సులభంగా చేరుకొనే దినాన రొమాంటిక్ మనోహరమైన పట్టణం సింత్రా పట్టణం ఉంది మరియు లార్డ్ బైరాన్ ద్వారా నమోదు చేయబడిన దాని వైభవాల గురించి ఒక ప్రకాశవంతమైన కథనం తరువాత విదేశీయులకు ఇది ప్రసిద్ధి చెందింది,"ఉత్తరాన మరియు సులభంగా చేరుకోగలిగేది సింట్రా యొక్క రొమాంటిక్ మరియు మనోహరమైన పట్టణం, ఇది లార్డ్ బైరాన్ రికార్డు చేసిన దాని ప్రకాశవంతమైన ఖాతా తర్వాత విదేశీయులకు ప్రసిద్ధి చెందింది.",5.8353,49.4899
1972,చాలామంది ఈకలు కలిగి ఎగరగలగటం వల్ల డైనోసార్లు గా వాటి గురించి ఆలోచించరు,చాలా మంది ప్రజలు వాటిని డైనోసార్లుగా భావించరు ఎందుకంటే వాటికి ఈకలు ఉన్నాయి మరియు ఎగరగలవు,3.3865,33.1943
1938,ఆసుపత్రి సంక్రామ్యత నియంత్రణ కొరకు ప్రోటోకాల్ పాటించింది దీనిలో ఇతరులకు సంభావ్య సంక్రామ్యత లు రాకుండా నిరోధించడం కొరకు రోగిని ఇతరుల నుంచి వేరు చేయడం ఉంది,"ఆసుపత్రి ఇన్ఫెక్షన్ నియంత్రణ కోసం ప్రోటోకాల్లను అనుసరించింది, ఇతరుల సంక్రమణను నివారించడానికి రోగిని ఇతరుల నుండి వేరుచేయడం సహా.",4.5300,36.3066
1876,దేశంలో ఎలాంటి నష్టం వాటిల్లలేదని నార్తర్న్ మెరియానా స్ ఎమర్జెన్సీ మేనేజ్ మెంట్ కార్యాలయం తెలిపింది,ఉత్తర మారియానాస్ ఎమర్జెన్సీ మేనేజ్ మెంట్ ఆఫీస్ దేశంలో ఎటువంటి నష్టాలు నివేదించబడలేదని తెలిపింది.,14.3231,49.5365
1914,జన్యు వైవిధ్యం రెండు విభాగాలుగా ఉందని ఇరవయ్యవ శతాబ్దపు పరిశోధన చూపింది దాగినవి మరియు వ్యక్తీకరించడినవి,ఇరవయ్యో శతాబ్దపు పరిశోధనలో జన్యు వైవిధ్యం యొక్క రెండు కొలనులు దాగి ఉన్నాయని మరియు వ్యక్తీకరించబడిందని చూపించింది.,7.1418,50.0963
1846,ఈ ఫార్మాట్ యొక్క కారక నిష్పత్తి సరళమైన పూర్ణాంక నిష్పత్తిని పొందడానికి పన్నెండుతో భాగించడం కాబట్టి 3 2 గా చెప్పబడింది,"ఈ ఫార్మాట్ యొక్క కారక నిష్పత్తి, సరళమైన మొత్తం సంఖ్య నిష్పత్తిని పొందటానికి పన్నెండు ద్వారా విభజించడం, అందువల్ల మూడు నుండి రెండు అని చెప్పబడుతుంది.",17.5882,52.1123
1806,కాంతి కాలుష్యం నేడు ఉన్న సమస్య కాదు ఆధునిక కాలంలో నిర్మించిన వాటి కంటే సాధారణంగా నగరాల్లో లేదా క్యాంపస్ లలో ఇవి తేలికగా చేరుతున్నాయి,"వారి శ్రేష్ఠ కాలంలో కాంతి కాలుష్యం నేటి సమస్య కాదు కాబట్టి, అవి సాధారణంగా నగరాల్లో లేదా క్యాంపస్లలో ఉన్నాయి, ఆధునిక కాలంలో నిర్మించిన వాటి కంటే సులభంగా చేరుకోవచ్చు.",22.4267,67.6258
1776,"""""""రాత్రి 150 నుంచి 200 కాపీలు తయారు చేయబడ్డాయి ఇప్పుడు """"""dunlap broadsides"""""" అని పిలవబడింది.""""","రాత్రిపూట 150 నుండి 200 కాపీలు తయారు చేయబడ్డాయి, ఇప్పుడు డన్లాప్ బ్రాడ్సైడ్స్ అని పిలుస్తారు.",10.3500,42.6368
