id,reference,hypothesis,BLEU,chrF++
1972,بہت سے لوگ ان کو ڈائنو سور تسلیم نہیں کرتے کیوں کہ وہ بال و پر رکھتے اور اڑنے کے قابل تھے,بہت سے لوگ ان کے بارے میں ڈایناسور کے طور پر نہیں سوچتے کیونکہ ان کے پنکھ ہیں اور وہ اڑ سکتے ہیں,12.6255,30.7518
1938,ہسپتال نے انفیکشن پر قابو پانے کے لیے پروٹوکول کی تقلید کی ہے جس میں مریض کو دیگر سے علیحدہ کرنا شامل ہے تاکہ دیگر افراد کے ممکنہ انفیکشن سے بچا جا سکے,ہسپتال نے انفیکشن کنٹرول کے لئے پروٹوکول کی پیروی کی ہے ، بشمول مریض کو دوسروں سے الگ کرنا تاکہ دوسروں کے ممکنہ انفیکشن کو روکا جاسکے۔,10.2252,42.5301
1876,شمالی مریاناز ایمرجنسی منیجمنٹ دفتر نے کہا ہے کہ ملک میں کسی طرح کا نقصان نہیں ہوا ہے,شمالی ماریانا کے ایمرجنسی مینجمنٹ آفس نے کہا کہ ملک میں کوئی نقصان کی اطلاع نہیں دی گئی ہے۔,10.9758,41.5477
1914,بیسویں صدی کی تحقیق سے ظاہر ہوا ہے کہ جینی تنوُّع کے دو مجموعے ہیں ایک نہاں اور دوسرا عیاں,بیسویں صدی کی تحقیق سے پتہ چلتا ہے کہ جینیاتی تغیرات کے دو پول ہیں، چھپے ہوئے اور اظہار.,23.5884,42.1066
1846,اس لئے کہا جاتا ہے کہ اس شکل کا آسپیکٹ ریشیو سب سے سادہ مجموعی نمبر ریشیو حاصل کرنے کے لئے بارہ سے تقسیم دے کر 3:2 ہوتا ہے۔,اس فارمیٹ کا پہلو تناسب ، سب سے آسان پورے نمبر کا تناسب حاصل کرنے کے لئے بارہ سے تقسیم کرنا ، لہذا کہا جاتا ہے کہ تین سے دو ہے۔,29.7934,44.5019
1806,ان کے دور میں خفیف تلوُّث ایزا مسئلہ نہیں تھا جیسا کہ وہ آج ہے ان کی سکونت ایسے شہروں یا حوزات میں ہے جہا ں تک بآسانی پہنچا جا سکتا ہے بہ نسبت ان مقامات کے جو ماڈرن زمانے میں تعمیر کئے گئے,چونکہ ان کے عروج کے زمانے میں روشنی کا آلودگی آج کی طرح کا مسئلہ نہیں تھا ، وہ عام طور پر شہروں یا کیمپسوں میں واقع ہوتے ہیں ، جو جدید دور میں تعمیر شدہ لوگوں سے زیادہ آسانی سے پہنچ جاتے ہیں۔,6.6313,31.9526
1729,مثال کے طور پر ہر سال شمالی کیرو لائنا میں بینیٹ اسکول کے طلباء ریاست کی راجدھانی تک کے اپنے سفر کے لئے ایک ویب سائٹ ڈیزائن کرتے ہیں ہر سال ویب سائٹ کو از سر نو تشکیل دیا جاتا ہے لیکن پرانے ورژن کو اسکریپ بک کے طور کام کرنے کے لئے آن لائن رکھا جاتا ہے,مثال کے طور پر ہر سال شمالی کیرولائنا کے بینٹ اسکول کے طلباء ریاست کے دارالحکومت کے اپنے سفر کے بارے میں ایک ویب سائٹ ڈیزائن کرتے ہیں۔ ہر سال ویب سائٹ کو دوبارہ تیار کیا جاتا ہے ، لیکن پرانے ورژن آن لائن رکھے جاتے ہیں تاکہ اسکرپٹ بک کے طور پر کام کیا جاسکے۔,36.0833,62.7305
1855,شیر کے گروہ زیادہ تر بھیڑیوں یا کتوں کے گروہوں کی طرح کام کرتے ہیں، حیرت کی بات ہے کہ جانوروں کے رویے شیروں سے ملتے جلتے ہیں لیکن دوسری بڑی بلیوں سے نہیں، اور یہ بھی کہ اپنے شکار کے لئے بہت مہلک ہوتے ہیں۔,شیر کا فخر بھیڑیوں یا کتوں کے ریوڑوں کی طرح کام کرتا ہے ، جانور حیرت انگیز طور پر شیر کی طرح ہیں ، لیکن دوسرے بڑے بلیوں کے رویے میں نہیں ، اور ان کے شکار کے لئے بھی بہت مہلک ہیں۔,12.3132,45.2281
1919,یہ شہر افریقہ میں کچھ بھڑکیلے پہاڑی گوریلا کا سراغ لگانے کے ساتھ نائراگونگو آتش فشاں پر چڑھنے کی چوکی بھی ہے,یہ شہر افریقہ میں پہاڑی گوریلا کی سب سے سستی تجارت کے ساتھ ساتھ نائیراگونگو آتش فشاں پر چڑھنے کا اڈہ بھی ہے۔,25.9249,58.7941
1711,یہ نظریات اس سے بحث کرتے ہیں کہ وہ کیا عوامل ہیں جو بعض اشخاص کو ان باتوں کے کرنے پر آمادہ کرتے ہیں جن کو وہ کرتے ہیں اور ان کے ماحول کی وہ کیا اشیاء ہیں جو ان کو بعض اشیاء کے کرنے یا نہ کرنے پر آمادہ کرتی ہیں,یہ براہ کرم دیکھیں کہ یہ کیا ہے کہ کچھ لوگ کیا کرتے ہیں جو انہیں وہ چیزیں چاہتے ہیں جو وہ کرتے ہیں اور ان کے ماحول میں کیا چیزیں انہیں کچھ چیزیں کرنے یا نہ کرنے پر مجبور کرتی ہیں۔,21.3076,39.3832
2005,لیکن ان چڑیوں کی نسبت سے بہت سی باتیں جو ڈایناسور جیسی لگتی ہیں,لیکن اس کے بارے میں بہت سی چیزیں ہیں، برف ایک ڈایناسور کی طرح لگ رہا تھا.,5.4012,28.0894
1982,خواتین یہ سفارش کی جاتی ہے کہ سفرکرنے والی تمام خواتین خود کو شادی شدہ بتائیں قطعِ نظر اپنی واقعی ازدواجی حالت کے,خواتین: کسی بھی خاتون مسافر کو یہ کہنے کی سفارش کی جاتی ہے کہ وہ شادی شدہ ہیں ، اس سے قطع نظر کہ ان کی اصل ازدواجی حیثیت کیا ہے۔,14.2912,38.0831
1674,کُچھ علاقوں میں ایک منٹ کے لیے پانی ابالنا کافی ہے کُچھ اور جگہوں پر بہت سے منٹ درکار ہیں,کچھ علاقوں میں ایک منٹ کے لئے ابالنے والا پانی کافی ہے اور دوسروں میں کئی منٹ کی ضرورت ہوتی ہے۔,21.3777,43.0257
1952,جو کوئی اونچے ارض البلد میں گاڑی چلانے جا رہا ہو یا پہاڑیوں سے گزر رہا ہو انہیں ممکنہ برف باری آئس یا منجمد کرنے والے درجہ حرارت کا خیال رکھنا چاہئے,کوئی بھی جو گرم عرض بلد پر یا پہاڑی گزرگاہوں پر گاڑی چلانے جا رہا ہے اسے برف ، برف یا منجمد درجہ حرارت کے امکان پر غور کرنا چاہئے۔,10.8726,37.2340
1705,15اگست 1940 کو اتحادی افواج نے جنوبی فرانس پر حملہ کر دیا اس حملے کو آپریشن ڈریگن کا نام دیا گیا,15 اگست 1940 کو اتحادیوں نے جنوبی فرانس پر حملہ کیا اور اس حملے کو آپریشن ڈریگن کہا گیا۔,36.7743,67.3135
1662,ایلویس بنیادی طور پر دو یا دو سے زیادہ دھاتوں کا مرکب ہوتا ہے یہ مت بھولئے کہ کیمیائی دوری جدول پر بہت سے عناصر موجود ہوتے ہیں,مصرع بنیادی طور پر دو یا اس سے زیادہ دھاتوں کا مرکب ہوتا ہے۔ مت بھولنا کہ پیریڈک ٹیبل پر بہت سے عناصر ہیں۔,38.5903,55.3277
